source_filename,dest_filename,extraction_date,extraction_time,extraction_status,error
COVR176_DICOM.zip,COVR176,2025-02-13,22:34:27.646928,success,
AA_5R248_L_DICOM.zip,AA_5R248_L,2025-02-13,22:34:27.646980,success,
COV305_DICOM.zip,COV305,2025-02-13,22:34:27.647107,success,
COV381_DICOM.zip,COV381,2025-02-13,22:34:27.647275,success,
COV218_DICOM.zip,COV218,2025-02-13,22:34:27.647299,success,
COVR043_DICOM.zip,COVR043,2025-02-13,22:34:27.647408,success,
EX099_COVR273DICOM.zip,EX099_COVR273DICOM,2025-02-13,22:34:27.647514,success,
COV219_DICOM.zip,COV219,2025-02-13,22:34:27.647565,success,
COV177_DICOM.zip,COV177,2025-02-13,22:34:27.647663,success,
COV227_DICOM.zip,COV227,2025-02-13,22:34:27.647734,success,
COV248_DICOM.zip,COV248,2025-02-13,22:34:27.647832,success,
COV376_DICOM.zip,COV376,2025-02-13,22:34:27.647893,success,
COV182_DICOM.zip,COV182,2025-02-13,22:34:27.647997,success,
EX057_COV303_DICOM.zip,EX057_COV303,2025-02-13,22:34:27.648109,success,
COV_R046_DICOM.zip,COV_R046,2025-02-13,22:34:27.648190,success,
COV269_DICOM.zip,COV269,2025-02-13,22:34:27.648316,success,
COV239_DICOM.zip,COV239,2025-02-13,22:34:27.648439,success,
COV321_DICOM.zip,COV321,2025-02-13,22:34:27.648532,success,
AA_4R143_L_DICOM.zip,AA_4R143_L,2025-02-13,22:34:27.648637,success,
COV195_DICOM.zip,COV195,2025-02-13,22:34:27.648762,success,
EX112_COV386_DICOM.zip,EX112_COV386,2025-02-13,22:34:27.649082,success,
AA_4R086_L_DICOM.zip,AA_4R086_L,2025-02-13,22:34:27.649036,success,
COV203_DICOM.zip,COV203,2025-02-13,22:34:27.649360,success,
COV215_DICOM.zip,COV215,2025-02-13,22:34:27.649274,success,
COV225_DICOM.zip,COV225,2025-02-13,22:34:27.649370,fail,File is not a zip file
EX055_AA3R176L_DICOM.zip,EX055_AA3R176L,2025-02-13,22:34:27.649556,success,
COVR075_DICOM.zip,COVR075,2025-02-13,22:34:27.649669,success,
COV204_DICOM.zip,COV204,2025-02-13,22:34:27.649789,success,
COV288_DICOM.zip,COV288,2025-02-13,22:34:27.650108,success,
AAL_3R029_DICOM.zip,AAL_3R029,2025-02-13,22:34:27.649930,success,
EX022_AA_3R317_L _DICOM.zip,EX022_AA_3R317_L,2025-02-13,22:34:27.650337,success,
COV_R002_DICOM.zip,COV_R002,2025-02-13,22:34:27.652965,success,
COV240_DICOM.zip,COV240,2025-02-13,22:34:27.653065,success,
EX027_COV232_DICOM.zip,EX027_COV232,2025-02-13,22:34:27.653155,fail,File is not a zip file
COV273_DICOM.zip,COV273,2025-02-13,22:34:27.653641,success,
EX021_COV224_DICOM.zip,EX021_COV224,2025-02-13,22:34:27.653759,success,
EX045_COV278_DICOM.zip,EX045_COV278,2025-02-13,22:34:27.655267,success,
AA_3R457_L_DICOM.zip,AA_3R457_L,2025-02-13,22:34:27.657813,success,
COV298_DICOM.zip,COV298,2025-02-13,22:34:27.658892,success,
EX081_COV357_DICOM.zip,EX081_COV357,2025-02-13,22:34:27.660516,success,
COV366_DICOM.zip,COV366,2025-02-13,22:34:27.661306,success,
AA_4R267_L_DICOM.zip,AA_4R267_L,2025-02-13,22:34:27.662905,success,
COV140_DICOM.zip,COV140,2025-02-13,22:34:27.663826,success,
COV313_DICOM.zip,COV313,2025-02-13,22:34:27.664983,success,
